decimalLatitude,decimalLongitude,scientificName,iucnRedListCategory
9.39771,76.57853,Tamarindus indica L.,LC
10.76944,76.48261,Saraca asoca (Roxb.) W.J.de Wilde,VU
13.06804,77.57719,Ficus racemosa L.,LC
8.61005,76.82877,Bauhinia purpurea L.,LC
10.12603,76.334,Bauhinia purpurea L.,LC
9.15061,76.55788,Wrightia tinctoria R.Br.,LC
8.36,77.05357,Tectona grandis L.f.,EN
21.58087,73.06076,Terminalia catappa L.,LC
8.59534,76.849,Samanea saman (Jacq.) Merr.,LC
23.0321,80.52964,Mangifera indica L.,DD
12.17469,75.24342,Tectona grandis L.f.,EN
11.6101,75.60195,Lawsonia inermis L.,LC
13.06842,77.57832,Ficus racemosa L.,LC
25.01784,85.37253,Dalbergia sissoo Roxb. ex DC.,LC
9.78619,76.44449,Phyllanthus emblica L.,LC
8.34321,77.05285,Phyllanthus emblica L.,LC
11.48129,75.64245,Phyllanthus emblica L.,LC
26.69329,92.80886,Ficus racemosa L.,LC
9.2031,76.70623,Psidium guajava L.,LC
9.35815,76.54146,Mangifera indica L.,DD
19.16418,83.40593,Psidium guajava L.,LC
11.96687,79.79848,Holoptelea integrifolia (Roxb.) Planch.,LC
8.34321,77.05285,Tamarindus indica L.,LC
8.34187,77.04894,Annona squamosa L.,LC
22.31343,73.18587,Alstonia scholaris (L.) R.Br.,LC
12.03391,79.76582,Albizia lebbeck (L.) Benth.,LC
11.60156,75.59198,Gliricidia sepium (Jacq.) Kunth,LC
11.12729,78.64549,Peltophorum pterocarpum (DC.) Backer ex K.Heyne,LC
25.24063,73.45485,Mangifera indica L.,DD
8.34187,77.04894,Mangifera indica L.,DD
8.34387,77.05188,Ficus religiosa L.,LC
9.17132,76.60099,Ceiba pentandra (L.) Gaertn.,LC
8.58177,76.8504,Mangifera indica L.,DD
30.28019,77.9717,Melia azedarach L.,LC
8.45665,77.07134,Mangifera indica L.,DD
9.16497,76.67292,Tectona grandis L.f.,EN
28.50887,77.41345,Tabebuia aurea (Silva Manso) Benth. & Hook.fil. ex S.Moore,LC
8.53588,77.09674,Bauhinia purpurea L.,LC
11.94331,79.80375,Ceiba pentandra (L.) Gaertn.,LC
12.52825,74.99707,Moringa oleifera Lam.,LC
8.36,77.05357,Tectona grandis L.f.,EN
21.58087,73.06076,Saraca asoca (Roxb.) W.J.de Wilde,VU
8.34321,77.05285,Azadirachta indica A.Juss.,LC
8.34321,77.05285,Syzygium cumini (L.) Skeels,LC
8.45772,77.06984,Mangifera indica L.,DD
11.65485,76.09478,Mimusops elengi L.,LC
9.20386,76.69036,Annona squamosa L.,LC
9.39771,76.57853,Mimusops elengi L.,LC
